i t_now Tx Ty Tz theta_x_filt theta_y_filt 
2512 13.526549339294434 -0.07969942337734225 0.002467865300117372 0.0 5.35388625154724e-07 0.006716033271856558 
2513 13.531922101974487 -0.06603033682607652 0.0024689549721245772 0.0 4.01541468866043e-07 0.005037024953892418 
2514 13.537164449691772 -0.055778521912627235 0.0024697722261299813 0.0 3.0115610164953226e-07 0.003777768715419314 
2515 13.542437553405762 0.0034629055521169204 0.0024703851666340346 0.0 2.258670762371492e-07 0.00043648034646953746 
2516 13.54767107963562 0.035287438402546854 0.002470844872012074 0.0 1.694003071778619e-07 -0.0025967914587643323 
2517 13.552990674972534 0.06421813527561232 0.002471189651045604 0.0 1.2705023038339644e-07 -0.0053511138056506645 
2518 13.558228969573975 0.0883687790280879 0.0024714482353207514 0.0 9.528767278754733e-08 -0.007752414814739669 
2519 13.563509941101074 0.10934423384204509 0.002471642173527112 0.0 7.14657545906605e-08 -0.00984101092227492 
2520 13.568904161453247 0.1284201707698554 0.002471787627181882 0.0 5.3599315942995375e-08 -0.011695080216290007 
2521 13.574293375015259 0.1440117879867069 0.0024718967174229595 0.0 4.019948695724653e-08 -0.013277380329043752 
2522 13.579618215560913 0.15382632107333932 0.0024719785351037683 0.0 3.0149615217934895e-08 -0.014464105413609062 
2523 13.584972858428955 0.16741180479816042 0.0024720398983643743 0.0 2.261221141345117e-08 -0.01564176957775154 
2524 13.59022307395935 0.17579651418334574 0.002472085920809829 0.0 1.6959158560088377e-08 -0.01657295473641901 
2525 13.595515251159668 0.18164682970083007 0.0024721204376439206 0.0 1.2719368920066283e-08 -0.017271343605419612 
2526 13.600779056549072 0.18092047155771965 0.0024721463252694886 0.0 9.539526690049713e-09 -0.017555451010689598 
2527 13.606103897094727 0.18281166193329773 0.0024721657409886647 0.0 7.154645017537285e-09 -0.017768531564642087 
2528 13.611562252044678 0.17498970770024122 0.0024721803027780475 0.0 5.365983763152964e-09 -0.017496909591383558 
2529 13.616913080215454 0.17037985406741396 0.002472191224120084 0.0 4.024487822364723e-09 -0.017149382004757838 
