i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y Kp_in_x Ki_in_x Kd_in_x Kp_in_y Ki_in_y Kd_in_y Kp_out_x Ki_out_x Kd_out_x Kp_out_y Ki_out_y Kd_out_y Kp_yaw Ki_yaw Kd_yaw
31 0.16422390937805176 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03279832460671475 -0.02056349246236288 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.01269395125188151 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
32 0.16949033737182617 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.035172199953733746 -0.021235185435608643 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
33 0.17483043670654297 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03751691326447658 -0.021944998247143993 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
34 0.18018460273742676 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03892374125092228 -0.022370885934065204 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
35 0.18554401397705078 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04068822614532113 -0.022933215573805822 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
36 0.1907975673675537 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04351099701035857 -0.023807502195464524 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
37 0.1960740089416504 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04612504763191247 -0.024638871196047636 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
38 0.20138931274414062 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04938085569611373 -0.025751286651573287 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
39 0.20668292045593262 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05210133310360421 -0.02664883369557959 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
40 0.2119433879852295 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.054500609136835985 -0.027494158949571263 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
41 0.21735286712646484 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.056630465088615564 -0.028231451872657187 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
42 0.22265625 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05859866899152383 -0.028980618693632155 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
43 0.2280139923095703 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06039318538844457 -0.029736915813805026 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
44 0.23343133926391602 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0620834892817728 -0.03042079185659967 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
45 0.23878240585327148 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06355786715915157 -0.03113791450986434 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
46 0.2440779209136963 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06497938272339317 -0.031798285872514064 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
47 0.24933147430419922 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06629248760331996 -0.03250130571769179 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
48 0.25458812713623047 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0674638468157609 -0.03315321539548934 0.16689710972195776 -0.2566568998245233 0.07012483601762931 0.0 0.0 0.0 -0.10584443108419635 -0.09730280814974934 -0.012807176161187758 -0.01177363978611967 0.0 0.0 0.0 0.0 10.200000000000008 0.0 0.07 10.200000000000008 0.0 0.07 0.3 0.05 0.8 0.3 0.05 0.8 0.5 0.1 0.05
