i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd
7466 40.342450857162476 2 1.0 0.3065499573625514 0.0 -0.28901807149800945 -0.6719875451787212 0.9610056166767307 -0.019384709396592776 -0.0635452351880091 0.7288970514908488 6.921321314940013 17.367116888126077 -16.82855814751068 -2.0835053146154716 -1.488218081868194 1.1905744654945554 11.075961024441524 -2.4879095366806525 1.3401912839574244 -0.30103705393835894 -0.08794627406825128 0.07616370751130086 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7467 40.34797763824463 2 1.0 0.21580535557436686 0.0 -0.2034632404573452 -0.7147649606990534 0.9182282011563985 -0.017804833040019775 -0.06683149111578768 0.7288794393540465 6.900283864134725 17.350286927481843 -16.814533180307155 -2.6691627158327926 -2.0760154456477276 2.0760154456477276 11.065967129661042 -2.4805659285184083 1.338982022688986 -0.3001484773507274 -0.24185225368769103 0.17771531752630576 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7468 40.35333061218262 2 1.0 0.22237772358057117 0.0 -0.2096597284381993 -0.7116667167086261 0.9213264451468255 -0.016657493499897372 -0.06921803949928314 0.728866649048745 6.887661393651551 17.340469450439375 -16.804715703264687 -2.679930038890292 -2.0843900302480054 2.0843900302480054 11.059607378437098 -2.4758450375569647 1.338212492790889 -0.29957724954439274 -0.15390597961939534 0.11424556126693464 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7469 40.35866594314575 2 1.0 0.19888024886369118 0.0 -0.1875060968207789 -0.7227435325173365 0.9102496293381154 -0.015456795148107308 -0.07005876157166005 0.7289623210144489 6.875038923168377 17.330651973396908 -16.79489822622222 -2.662799924724865 -2.662799924724865 2.662799924724865 11.053247627213157 -2.471124146595521 1.337442962892792 -0.29900602173805807 -0.15390597961939534 0.11424556126693464 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7470 40.36393094062805 2 1.0 0.19984702404138327 0.0 -0.1884175811994841 -0.7222877903279838 0.910705371527468 -0.01453232607829823 -0.07003935430840687 0.7290318000142938 6.861013955964852 17.316627006193382 -16.780873259018694 -2.637759489096457 -2.637759489096457 2.637759489096457 11.04416226832181 -2.4658787121939176 1.3363436344669388 -0.298371324175464 -0.2198656851706282 0.12693951251880886 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7471 40.369231939315796 2 1.0 0.183510715856657 0.0 -0.17301556213685312 -0.7299887998592994 0.9030043619961524 -0.013598476195899007 -0.06923781360182225 0.7289247510229047 6.846988988761327 17.302602038989853 -16.76684829181517 -2.371586083876705 -2.9644826048458803 3.2609308653304687 11.035076909430462 -2.460633277792315 1.335244306041086 -0.2977366266128701 -0.2198656851705838 0.12693951251878666 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7472 40.37450075149536 2 1.0 0.14699232036246435 0.0 -0.1385856886808586 -0.7472037365872966 0.8857894252681551 -0.012395328749096874 -0.06776327821484053 0.7286370234025228 6.8357690149985055 17.288577071786328 -16.75142082789129 -2.3928853996537014 -3.190513866204936 3.190513866204936 11.025537282594545 -2.4561746585509514 1.33409001119394 -0.2971971336846651 -0.23085896942918183 0.10789858564099752 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7473 40.3798291683197 2 0.9930553583333471 0.10751995672566228 0.0 -0.10137078735146657 -0.7601409110754023 0.8615116984268689 -0.010944117173464003 -0.06564251051905776 0.7282180831500662 6.823146544515332 17.271747111142098 -16.734590867247057 -2.371586083876705 -3.5573791258150567 3.5573791258150567 11.01463485192493 -2.4514537675895074 1.3327708170829164 -0.2966259058783304 -0.26383882220470944 0.11424556126694574 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7474 40.38504934310913 2 0.9132532768865057 0.052877175027593135 0.0 -0.049853078709332095 -0.7207416387442076 0.7705947174535397 -0.00910276980970278 -0.0629474423500781 0.7276513732384371 6.811926570752512 17.25491715049787 -16.717760906602827 -2.131858970705052 -3.730753198733842 3.730753198733842 11.003732421255313 -2.4472574200682238 1.331451622971893 -0.2961181478282551 -0.26383882220470944 0.10155161001506041 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7475 40.39026093482971 2 0.8438568140407936 -0.01231730197054505 0.0 0.011612863665726437 -0.694812635289735 0.6831997716240085 -0.0068206078177229824 -0.059940298126436024 0.7270298301605062 6.8007065969896905 17.235282196412932 -16.69812595251789 -2.0672724873590447 -3.8392203336667974 4.134544974718089 10.991012918807426 -2.4430610725469415 1.3299125631756985 -0.29561038977817994 -0.3078119592388795 0.1015516100150271 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7476 40.395532846450806 2 0.8565620694833451 -0.0029651302464570595 0.0 0.0027955516058281674 -0.7007777768884426 0.6979822252826142 -0.005163253633347008 -0.05775644655078532 0.726578452464883 6.790889119947223 17.21704973904835 -16.678490998432952 -2.087492460656624 -4.174984921313248 4.174984921313248 10.978747684304107 -2.439126996745738 1.3284284698007969 -0.29513436660623427 -0.2968186749803259 0.0952046343891344 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
7477 40.40078401565552 2 0.7041907796424955 -0.14979134148495743 0.0 0.14122463110272426 -0.6455816794502893 0.5043570483475651 -0.001964783527145548 -0.05407062948453824 0.7257257191356165 6.781071642904754 17.197414784963414 -16.65885604434802 -1.850608302067503 -4.22996183329715 4.494334447878221 10.966028181856222 -2.435455192664616 1.326889410004603 -0.2946900783124185 -0.3078119592387907 0.08885765876315288 0.0 0.0 17.0 1.5000000000000002 0.30000000000000004 17.0 1.5000000000000002 0.30000000000000004
