i t_now control_mode Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 phi_x phi_y x y dx dy theta_d_x theta_d_y inner_x_Kp inner_x_Ki inner_x_Kd inner_y_Kp inner_y_Ki inner_y_Kd outer_x_Kp outer_x_Ki outer_x_Kd outer_y_Kp outer_y_Ki outer_y_Kd
1283 6.926762819290161 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.0565655454993248 0.03374757617712021 -0.032213568687438965 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1284 6.9321699142456055 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.055990301072597504 0.03298058360815048 -0.032405316829681396 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1285 6.937684535980225 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.055031560361385345 0.032021842896938324 -0.03259706497192383 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1286 6.942981004714966 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.05253884196281433 0.029720880091190338 -0.03298056125640869 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1287 6.948296546936035 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.051004864275455475 0.028378643095493317 -0.033364057540893555 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1288 6.953547239303589 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.04908738285303116 0.02684466540813446 -0.033555805683135986 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1289 6.958749771118164 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.04716990888118744 0.025310680270195007 -0.03374755382537842 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1290 6.963968515396118 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.04506068676710129 0.02358495444059372 -0.03393930196762085 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1291 6.969315767288208 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.042759716510772705 0.02166748046875 -0.03413105010986328 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
1292 6.974580526351929 1 0.0 0.0 0.0 0.0 0.0 0.0 -0.04045874625444412 0.019749999046325684 -0.034514546394348145 0.0 0.0014024967203525862 0.0 0.0 0.0 0.0 0.0004542679445673663 0.00026227172008018695 5.496642129265132e-05 3.173487812970262e-05 0.0 0.0 0.0 0.0 12.999999999999998 1.3 0.30000000000000004 12.999999999999998 1.3 0.30000000000000004 0.3 0.05 0.8 0.3 0.05 0.8
